month,floor_area_sqm,resale_price,age
2020-01-01,73,265000,44
2020-01-01,70,470000,8
2020-01-01,73,230000,43
2020-01-01,73,280000,44
2020-01-01,68,220000,40
2020-01-01,68,280000,40
2020-01-01,67,240000,40
2020-01-01,82,301000,40
2020-01-01,67,255000,41
2020-01-01,67,233000,41
2020-01-01,67,250000,40
2020-01-01,67,245000,41
2020-01-01,67,255000,41
2020-01-01,67,288000,41
2020-01-01,67,235000,41
2020-01-01,67,268000,36
2020-01-01,67,240000,41
2020-01-01,88,320000,42
2020-01-01,67,250000,44
2020-01-01,67,250000,42
2020-01-01,67,265000,41
2020-01-01,67,300000,42
2020-01-01,73,320000,42
2020-01-01,67,255000,43
2020-01-01,88,355000,42
2020-01-01,67,270000,42
2020-01-01,67,283000,42
2020-01-01,67,245000,42
2020-01-01,73,255000,43
2020-01-01,75,308000,40
2020-01-01,82,302500,39
2020-01-01,68,250000,39
2020-01-01,82,362000,39
2020-01-01,82,340000,39
2020-01-01,68,278000,39
2020-01-01,67,280000,40
2020-01-01,67,246100,40
2020-01-01,68,245000,39
2020-01-01,67,318000,40
2020-01-01,67,223000,40
2020-01-01,67,260000,41
2020-01-01,82,305000,40
2020-01-01,67,458888,5
2020-01-01,67,423000,5
2020-01-01,98,370000,44
2020-01-01,97,715000,8
2020-01-01,94,660000,8
2020-01-01,91,360000,40
2020-01-01,92,383000,41
2020-01-01,93,383000,40
2020-01-01,91,345000,36
2020-01-01,93,328000,36
2020-01-01,92,360000,41
2020-01-01,99,360000,41
2020-01-01,92,345000,40
2020-01-01,92,370000,41
2020-01-01,99,452000,41
2020-01-01,98,500000,42
2020-01-01,98,435000,42
2020-01-01,91,338000,42
2020-01-01,92,390000,42
2020-01-01,91,383000,42
2020-01-01,91,385000,38
2020-01-01,91,348000,39
2020-01-01,91,350000,39
2020-01-01,90,590800,17
2020-01-01,91,378000,40
2020-01-01,92,425000,40
2020-01-01,100,396000,40
2020-01-01,90,510000,19
2020-01-01,95,582000,19
2020-01-01,90,639000,9
2020-01-01,90,723888,9
2020-01-01,119,485000,41
2020-01-01,119,465000,41
2020-01-01,119,535000,41
2020-01-01,120,580000,40
2020-01-01,117,450000,42
2020-01-01,133,700000,27
2020-01-01,121,530000,39
2020-01-01,118,645000,40
2020-01-01,117,630000,40
2020-01-01,110,789000,18
2020-01-01,120,840000,9
2020-01-01,117,819800,9
2020-01-01,163,770000,40
2020-01-01,150,623000,40
2020-01-01,68,285000,40
2020-01-01,67,293000,41
2020-01-01,67,260000,41
2020-01-01,67,295000,42
2020-01-01,82,310000,42
2020-01-01,67,265000,43
2020-01-01,82,332000,43
2020-01-01,59,235000,42
2020-01-01,60,250000,34
2020-01-01,67,275000,42
2020-01-01,59,268000,42
2020-01-01,67,262000,41
2020-01-01,59,237000,42
2020-01-01,68,263000,41
2020-01-01,59,226000,42
2020-01-01,67,241000,41
2020-01-01,68,245000,40
2020-01-01,67,238000,41
2020-01-01,82,308888,40
2020-01-01,68,290000,40
2020-01-01,67,285000,41
2020-01-01,82,328000,40
2020-01-01,67,250000,41
2020-01-01,67,245000,35
2020-01-01,70,275000,35
2020-01-01,67,288000,37
2020-01-01,68,280000,39
2020-01-01,68,260000,39
2020-01-01,68,278000,38
2020-01-01,68,280000,39
2020-01-01,68,300000,40
2020-01-01,68,300000,39
2020-01-01,65,250500,44
2020-01-01,59,243000,44
2020-01-01,65,272000,46
2020-01-01,73,290000,46
2020-01-01,73,280000,46
2020-01-01,67,300000,35
2020-01-01,67,280000,35
2020-01-01,67,288000,35
2020-01-01,65,292000,43
2020-01-01,60,268000,35
2020-01-01,92,395000,42
2020-01-01,92,335000,41
2020-01-01,91,368000,43
2020-01-01,92,420000,41
2020-01-01,91,355000,42
2020-01-01,85,630000,14
2020-01-01,92,398000,41
2020-01-01,92,320000,42
2020-01-01,92,390000,42
2020-01-01,92,330000,40
2020-01-01,92,325000,40
2020-01-01,92,375000,41
2020-01-01,87,718000,6
2020-01-01,87,663000,6
2020-01-01,87,670000,6
2020-01-01,87,655000,6
2020-01-01,93,388000,40
2020-01-01,91,400000,39
2020-01-01,91,386500,39
2020-01-01,104,415000,36
2020-01-01,89,380000,33
2020-01-01,98,400000,40
2020-01-01,104,405000,33
2020-01-01,91,365000,35
2020-01-01,93,388000,35
2020-01-01,93,395000,37
2020-01-01,107,535000,20
2020-01-01,105,533800,20
2020-01-01,105,525000,20
2020-01-01,90,338000,43
2020-01-01,82,330000,44
2020-01-01,82,315000,44
2020-01-01,105,486000,35
2020-01-01,84,309000,43
2020-01-01,91,350000,38
2020-01-01,90,500000,19
2020-01-01,108,480000,24
2020-01-01,106,500000,24
2020-01-01,119,600000,42
2020-01-01,118,660000,40
2020-01-01,118,633000,40
2020-01-01,123,470000,42
2020-01-01,132,615000,27
2020-01-01,123,490000,42
2020-01-01,117,380000,42
2020-01-01,136,590000,41
2020-01-01,123,465000,38
2020-01-01,123,488000,27
2020-01-01,122,448000,33
2020-01-01,125,470000,35
2020-01-01,121,500000,27
2020-01-01,115,650000,20
2020-01-01,118,638000,42
2020-01-01,133,765000,25
2020-01-01,115,512800,42
2020-01-01,133,525000,37
2020-01-01,126,610000,27
2020-01-01,128,610000,24
2020-01-01,120,615000,43
2020-01-01,143,758000,27
2020-01-01,142,680000,27
2020-01-01,143,798888,27
2020-01-01,148,580000,35
2020-01-01,150,630000,35
2020-01-01,146,740000,27
2020-01-01,64,387000,34
2020-01-01,64,328000,32
2020-01-01,67,373000,35
2020-01-01,84,392000,31
2020-01-01,93,420000,31
2020-01-01,84,480000,35
2020-01-01,84,510000,35
2020-01-01,83,472000,34
2020-01-01,104,480000,32
2020-01-01,84,440000,32
2020-01-01,84,510000,34
2020-01-01,104,590000,34
2020-01-01,85,445000,32
2020-01-01,112,555000,28
2020-01-01,109,508000,28
2020-01-01,113,600000,28
2020-01-01,108,670000,28
2020-01-01,102,555000,28
2020-01-01,103,485000,28
2020-01-01,95,888888,9
2020-01-01,121,690000,34
2020-01-01,121,650000,33
2020-01-01,121,672000,33
2020-01-01,121,707000,33
2020-01-01,121,640000,32
2020-01-01,131,780000,33
2020-01-01,122,685000,33
2020-01-01,139,800000,28
2020-01-01,133,698000,28
2020-01-01,121,690000,22
2020-01-01,120,860000,9
2020-01-01,123,690000,30
2020-01-01,125,700000,31
2020-01-01,125,690000,30
2020-01-01,151,780000,34
2020-01-01,146,940000,33
2020-01-01,142,850000,33
2020-01-01,150,880000,28
2020-01-01,149,815000,28
2020-01-01,149,913000,28
2020-01-01,64,250000,33
2020-01-01,64,235000,34
2020-01-01,67,250000,35
2020-01-01,67,240000,35
2020-01-01,67,240000,22
2020-01-01,67,288000,35
2020-01-01,64,270000,33
2020-01-01,68,260000,34
2020-01-01,64,235000,32
2020-01-01,60,245000,33
2020-01-01,60,260000,32
2020-01-01,64,260000,33
2020-01-01,60,235000,33
2020-01-01,73,282000,33
2020-01-01,73,267000,33
2020-01-01,73,262000,36
2020-01-01,68,248000,36
2020-01-01,73,250000,36
2020-01-01,73,242000,35
2020-01-01,103,358000,35
2020-01-01,104,350800,35
2020-01-01,93,330000,35
2020-01-01,104,392000,36
2020-01-01,91,350800,35
2020-01-01,108,385000,35
2020-01-01,91,345000,22
2020-01-01,101,400000,22
2020-01-01,84,325888,35
2020-01-01,84,325000,35
2020-01-01,93,335000,35
2020-01-01,84,333000,34
2020-01-01,84,285000,34
2020-01-01,84,305000,34
2020-01-01,103,325000,33
2020-01-01,94,310000,32
2020-01-01,94,325000,32
2020-01-01,90,428000,15
2020-01-01,103,400000,36
2020-01-01,107,350000,35
2020-01-01,111,398000,36
2020-01-01,93,330000,36
2020-01-01,100,410000,23
2020-01-01,93,330000,36
2020-01-01,96,310000,35
2020-01-01,93,321000,35
2020-01-01,120,580000,23
2020-01-01,121,466000,35
2020-01-01,149,578500,35
2020-01-01,121,490000,23
2020-01-01,122,388000,34
2020-01-01,118,570000,16
2020-01-01,118,575000,16
2020-01-01,110,517000,15
2020-01-01,118,548000,16
2020-01-01,132,485000,35
2020-01-01,134,540000,35
2020-01-01,150,650000,35
2020-01-01,149,575000,35
2020-01-01,148,570000,36
2020-01-01,155,680000,36
2020-01-01,150,708000,36
2020-01-01,142,580000,36
2020-01-01,144,720000,23
2020-01-01,35,205000,49
2020-01-01,47,195000,53
2020-01-01,47,405000,7
2020-01-01,62,685000,4
2020-01-01,62,700000,4
2020-01-01,67,330000,51
2020-01-01,69,590000,7
2020-01-01,65,300000,45
2020-01-01,76,298000,44
2020-01-01,58,311000,51
2020-01-01,58,265000,51
2020-01-01,58,300000,51
2020-01-01,60,526000,12
2020-01-01,60,543000,11
2020-01-01,62,588000,7
2020-01-01,62,480000,7
2020-01-01,62,600000,7
2020-01-01,82,420000,38
2020-01-01,65,310000,44
2020-01-01,73,335000,44
2020-01-01,59,266000,44
2020-01-01,59,242000,44
2020-01-01,68,575000,7
2020-01-01,67,608888,7
2020-01-01,59,278000,44
2020-01-01,88,540000,47
2020-01-01,88,580000,47
2020-01-01,88,585000,47
2020-01-01,93,1008000,4
2020-01-01,92,968000,4
2020-01-01,100,838000,15
2020-01-01,90,770000,17
2020-01-01,91,606000,35
2020-01-01,94,718000,7
2020-01-01,108,590000,24
2020-01-01,90,588000,17
2020-01-01,91,680000,17
2020-01-01,85,640000,12
2020-01-01,92,640000,17
2020-01-01,93,758000,7
2020-01-01,101,728888,19
2020-01-01,100,622500,19
2020-01-01,100,810000,15
2020-01-01,100,790000,15
2020-01-01,98,460000,42
2020-01-01,91,445000,44
2020-01-01,112,980000,4
2020-01-01,138,735000,35
2020-01-01,110,970000,17
2020-01-01,115,696888,20
2020-01-01,110,888000,17
2020-01-01,115,810000,19
2020-01-01,115,880000,19
2020-01-01,114,825000,19
2020-01-01,110,825000,18
2020-01-01,122,628000,34
2020-01-01,115,845888,19
2020-01-01,126,830000,25
2020-01-01,123,825000,44
2020-01-01,110,730000,17
2020-01-01,117,580000,44
2020-01-01,47,230000,5
2020-01-01,47,235800,6
2020-01-01,73,250000,32
2020-01-01,68,320000,5
2020-01-01,68,315000,5
2020-01-01,73,298000,32
2020-01-01,73,285000,32
2020-01-01,73,278000,32
2020-01-01,73,283000,31
2020-01-01,67,326000,5
2020-01-01,67,325000,5
2020-01-01,67,330000,6
2020-01-01,67,335000,5
2020-01-01,67,330000,5
2020-01-01,67,327000,5
2020-01-01,67,330000,5
2020-01-01,104,365000,32
2020-01-01,103,300000,31
2020-01-01,103,340000,31
2020-01-01,101,415000,21
2020-01-01,106,352000,32
2020-01-01,84,300000,32
2020-01-01,101,340000,23
2020-01-01,104,345000,32
2020-01-01,104,311000,31
2020-01-01,104,345000,31
2020-01-01,100,455888,22
2020-01-01,103,340000,22
2020-01-01,90,325000,22
2020-01-01,101,358000,21
2020-01-01,100,420000,21
2020-01-01,103,383000,22
2020-01-01,100,390000,21
2020-01-01,101,470000,23
2020-01-01,90,435000,19
2020-01-01,90,440000,19
2020-01-01,90,495000,19
2020-01-01,104,310000,32
2020-01-01,84,296000,33
2020-01-01,103,375000,32
2020-01-01,103,550000,22
2020-01-01,102,475000,22
2020-01-01,104,326500,32
2020-01-01,84,320000,32
2020-01-01,84,260000,32
2020-01-01,93,405000,6
2020-01-01,93,453000,5
2020-01-01,92,450000,5
2020-01-01,92,320000,18
2020-01-01,93,410000,5
2020-01-01,93,403000,8
2020-01-01,92,375000,6
2020-01-01,93,440000,5
2020-01-01,90,330000,18
2020-01-01,92,415000,6
2020-01-01,93,428000,5
2020-01-01,93,410000,8
2020-01-01,92,440000,5
2020-01-01,90,323000,18
2020-01-01,93,420000,5
2020-01-01,90,309000,18
2020-01-01,93,445800,5
2020-01-01,92,345000,18
2020-01-01,93,443000,5
2020-01-01,93,480000,5
